Recency,Frequency,Monetary,City,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment_Name
145,1,490.11,Agadir,3,1,2,312,2,Clients à Risque / Perdus
446,1,124.75,Marrakech,4,1,1,411,0,Clients Réguliers
17,12,3445.32,Fès,1,4,4,144,2,Clients à Risque / Perdus
59,2,589.47,Marrakech,2,2,2,222,2,Clients à Risque / Perdus
684,1,310.26,Rabat,4,1,1,411,0,Clients Réguliers
32,10,13191.57,Marrakech,2,4,4,244,2,Clients à Risque / Perdus
61,19,6486.091,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
1,2,489.92,Rabat,1,2,2,122,2,Clients à Risque / Perdus
12,57,21773.4,Agadir,1,4,4,144,2,Clients à Risque / Perdus
73,6,2228.1,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
67,2,567.36,Tanger,2,2,2,222,2,Clients à Risque / Perdus
12,1,199.48000000000002,Kenitra,1,1,1,111,2,Clients à Risque / Perdus
3,4,513.0500000000001,Tanger,1,3,2,132,2,Clients à Risque / Perdus
31,18,10513.47,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
77,1,675.3,Meknès,2,1,2,212,2,Clients à Risque / Perdus
427,1,281.76,Fès,4,1,1,411,0,Clients Réguliers
34,20,9879.48,Meknès,2,4,4,244,2,Clients à Risque / Perdus
311,1,1308.48,Tanger,3,1,3,313,0,Clients Réguliers
27,8,5112.97,Tanger,2,4,4,244,2,Clients à Risque / Perdus
88,6,2806.18,Kenitra,2,3,4,234,2,Clients à Risque / Perdus
397,1,262.4,Marrakech,4,1,1,411,0,Clients Réguliers
9,1,350.9,Marrakech,1,1,2,112,2,Clients à Risque / Perdus
406,3,1015.74,Casablanca,4,2,3,423,0,Clients Réguliers
77,5,6263.75,Rabat,2,3,4,234,2,Clients à Risque / Perdus
72,1,795.12,Oujda,2,1,2,212,2,Clients à Risque / Perdus
541,1,1575.26,Rabat,4,1,3,413,0,Clients Réguliers
153,4,2445.62,Oujda,3,3,4,334,2,Clients à Risque / Perdus
196,1,860.12,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
41,12,22100.56,Meknès,2,4,4,244,2,Clients à Risque / Perdus
256,1,775.85,El Jadida,3,1,2,312,0,Clients Réguliers
173,1,353.43,Agadir,3,1,2,312,2,Clients à Risque / Perdus
63,3,2543.72,Casablanca,2,2,4,224,2,Clients à Risque / Perdus
283,1,389.5,Casablanca,3,1,2,312,0,Clients Réguliers
458,6,299.4,Agadir,4,3,1,431,0,Clients Réguliers
65,1,341.36,Tanger,2,1,1,211,2,Clients à Risque / Perdus
59,1,233.76,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
6,1,247.32,Agadir,1,1,1,111,2,Clients à Risque / Perdus
11,2,979.12,Oujda,1,2,3,123,2,Clients à Risque / Perdus
62,1,373.94,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
55,1,397.97999999999996,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
66,1,743.53,Tanger,2,1,2,212,2,Clients à Risque / Perdus
117,1,674.7,Tanger,3,1,2,312,2,Clients à Risque / Perdus
75,1,768.24,Tétouan,2,1,2,212,2,Clients à Risque / Perdus
252,5,3838.36,Rabat,3,3,4,334,2,Clients à Risque / Perdus
264,1,439.03,Tétouan,3,1,2,312,0,Clients Réguliers
59,2,1043.31,Oujda,2,2,3,223,2,Clients à Risque / Perdus
427,4,1553.65,Tétouan,4,3,3,433,0,Clients Réguliers
467,2,1450.5,Rabat,4,2,3,423,0,Clients Réguliers
4,7,5394.07,Oujda,1,3,4,134,2,Clients à Risque / Perdus
13,3,1723.86,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
66,1,134.95999999999998,Meknès,2,1,1,211,2,Clients à Risque / Perdus
29,2,2225.37,Fès,2,2,3,223,2,Clients à Risque / Perdus
45,1,56.160000000000004,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
427,1,510.20000000000005,Rabat,4,1,2,412,0,Clients Réguliers
252,4,1121.5,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
361,1,616.5600000000001,Tanger,3,1,2,312,0,Clients Réguliers
367,1,1509.74,Meknès,3,1,3,313,0,Clients Réguliers
500,2,2297.66,Tétouan,4,2,4,424,0,Clients Réguliers
85,1,378.64,Tanger,2,1,2,212,2,Clients à Risque / Perdus
56,6,7587.1900000000005,El Jadida,2,3,4,234,2,Clients à Risque / Perdus
410,2,422.8,Rabat,4,2,2,422,0,Clients Réguliers
84,2,1792.23,Tétouan,2,2,3,223,2,Clients à Risque / Perdus
94,3,1019.76,Oujda,2,2,3,223,2,Clients à Risque / Perdus
392,2,1552.88,Agadir,4,2,3,423,0,Clients Réguliers
21,3,572.56,Fès,1,2,2,122,2,Clients à Risque / Perdus
428,1,62.4,Tanger,4,1,1,411,0,Clients Réguliers
27,12,8224.37,El Jadida,2,4,4,244,2,Clients à Risque / Perdus
276,5,1387.58,Marrakech,3,3,3,333,0,Clients Réguliers
539,1,305.28000000000003,Casablanca,4,1,1,411,0,Clients Réguliers
26,11,6680.83,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
325,1,534.57,Rabat,3,1,2,312,0,Clients Réguliers
410,2,835.46,Casablanca,4,2,2,422,0,Clients Réguliers
412,1,189.44,Meknès,4,1,1,411,0,Clients Réguliers
127,3,1185.65,Casablanca,3,2,3,323,2,Clients à Risque / Perdus
6,3,797.96,Agadir,1,2,2,122,2,Clients à Risque / Perdus
70,1,544.08,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
199,1,59.8,Marrakech,3,1,1,311,2,Clients à Risque / Perdus
672,1,91.14,Rabat,4,1,1,411,0,Clients Réguliers
579,4,1131.45,Casablanca,4,3,3,433,0,Clients Réguliers
49,18,6319.6,Meknès,2,4,4,244,2,Clients à Risque / Perdus
180,3,1180.23,Rabat,3,2,3,323,2,Clients à Risque / Perdus
24,2,1360.99,Rabat,1,2,3,123,2,Clients à Risque / Perdus
68,10,3191.87,Agadir,2,4,4,244,2,Clients à Risque / Perdus
187,2,670.34,Rabat,3,2,2,322,2,Clients à Risque / Perdus
459,3,275.4,Tanger,4,2,1,421,0,Clients Réguliers
578,1,310.83,Casablanca,4,1,1,411,0,Clients Réguliers
122,4,1535.13,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
13,3,229.5,Casablanca,1,2,1,121,2,Clients à Risque / Perdus
208,1,217.81,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
69,6,1213.811,Tanger,2,3,3,233,2,Clients à Risque / Perdus
422,2,568.92,Meknès,4,2,2,422,0,Clients Réguliers
574,3,2244.7,Marrakech,4,2,3,423,0,Clients Réguliers
3,104,50870.622,Kenitra,1,4,4,144,1,VIP / Champions
19,9,2201.96,Meknès,1,4,3,143,2,Clients à Risque / Perdus
102,1,213.55,Marrakech,3,1,1,311,2,Clients à Risque / Perdus
615,1,487.34999999999997,Marrakech,4,1,2,412,0,Clients Réguliers
635,6,429.44,Casablanca,4,3,2,432,0,Clients Réguliers
129,6,2494.14,Casablanca,3,3,4,334,2,Clients à Risque / Perdus
468,4,800.67,Rabat,4,3,2,432,0,Clients Réguliers
39,3,940.8000000000001,Casablanca,2,2,3,223,2,Clients à Risque / Perdus
200,5,1264.66,Casablanca,3,3,3,333,2,Clients à Risque / Perdus
7,31,12233.6,Tanger,1,4,4,144,2,Clients à Risque / Perdus
59,1,221.06,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
145,2,159.85,Marrakech,3,2,1,321,2,Clients à Risque / Perdus
35,8,4103.12,Tétouan,2,4,4,244,2,Clients à Risque / Perdus
59,1,2626.3,Tanger,2,1,4,214,2,Clients à Risque / Perdus
424,1,217.03,Fès,4,1,1,411,0,Clients Réguliers
445,1,572.77,Casablanca,4,1,2,412,0,Clients Réguliers
103,5,3403.63,Rabat,3,3,4,334,2,Clients à Risque / Perdus
5,21,7875.6,Tanger,1,4,4,144,2,Clients à Risque / Perdus
15,6,1006.53,Rabat,1,3,3,133,2,Clients à Risque / Perdus
5,3,499.98,Casablanca,1,2,2,122,2,Clients à Risque / Perdus
6,4,1006.8,Tanger,1,3,3,133,2,Clients à Risque / Perdus
14,2,679.45,Tanger,1,2,2,122,2,Clients à Risque / Perdus
62,8,3316.24,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
566,2,439.1,Casablanca,4,2,2,422,0,Clients Réguliers
496,4,658.3199999999999,Casablanca,4,3,2,432,0,Clients Réguliers
69,5,1666.8600000000001,Tanger,2,3,3,233,2,Clients à Risque / Perdus
19,8,4032.9300000000003,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
9,7,3408.06,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
542,1,46.5,Casablanca,4,1,1,411,0,Clients Réguliers
250,3,986.61,Tétouan,3,2,3,323,2,Clients à Risque / Perdus
419,7,1295.25,Rabat,4,4,3,443,0,Clients Réguliers
87,2,720.9,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
662,3,419.87,Marrakech,4,2,2,422,0,Clients Réguliers
444,6,1280.16,Fès,4,3,3,433,0,Clients Réguliers
370,2,631.6800000000001,Casablanca,3,2,2,322,0,Clients Réguliers
621,1,241.89999999999998,Tanger,4,1,1,411,0,Clients Réguliers
425,11,3881.89,Marrakech,4,4,4,444,0,Clients Réguliers
18,3,1129.14,Rabat,1,2,3,123,2,Clients à Risque / Perdus
12,13,9240.87,Rabat,1,4,4,144,2,Clients à Risque / Perdus
19,1,291.88,Fès,1,1,1,111,2,Clients à Risque / Perdus
22,13,4120.04,Kenitra,1,4,4,144,2,Clients à Risque / Perdus
21,11,7190.92,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
254,3,729.8,Agadir,3,2,2,322,2,Clients à Risque / Perdus
161,3,781.6899999999999,Marrakech,3,2,2,322,2,Clients à Risque / Perdus
636,1,219.87,Agadir,4,1,1,411,0,Clients Réguliers
20,6,2905.93,Meknès,1,3,4,134,2,Clients à Risque / Perdus
13,6,1766.72,Rabat,1,3,3,133,2,Clients à Risque / Perdus
684,2,148.22,Casablanca,4,2,1,421,0,Clients Réguliers
2,16,11959.27,Agadir,1,4,4,144,2,Clients à Risque / Perdus
620,2,1160.4099999999999,Casablanca,4,2,3,423,0,Clients Réguliers
24,2,183.44,Marrakech,1,2,1,121,2,Clients à Risque / Perdus
34,6,4160.0,Rabat,2,3,4,234,2,Clients à Risque / Perdus
248,5,1153.85,Casablanca,3,3,3,333,2,Clients à Risque / Perdus
53,6,3097.64,Rabat,2,3,4,234,2,Clients à Risque / Perdus
441,2,931.12,Tanger,4,2,3,423,0,Clients Réguliers
179,5,1013.35,Tanger,3,3,3,333,2,Clients à Risque / Perdus
6,2,1083.71,Fès,1,2,3,123,2,Clients à Risque / Perdus
3,71,13265.97,Marrakech,1,4,4,144,1,VIP / Champions
648,1,82.4,Fès,4,1,1,411,0,Clients Réguliers
94,2,165.0,Meknès,2,2,1,221,2,Clients à Risque / Perdus
1,3,2439.34,Casablanca,1,2,4,124,2,Clients à Risque / Perdus
459,2,592.24,Agadir,4,2,2,422,0,Clients Réguliers
56,8,2657.7599999999998,Kenitra,2,4,4,244,2,Clients à Risque / Perdus
231,3,663.79,Agadir,3,2,2,322,2,Clients à Risque / Perdus
186,4,1431.78,Tanger,3,3,3,333,2,Clients à Risque / Perdus
174,5,2061.4700000000003,Meknès,3,3,3,333,2,Clients à Risque / Perdus
33,11,2834.17,Rabat,2,4,4,244,2,Clients à Risque / Perdus
464,5,2215.78,Rabat,4,3,3,433,0,Clients Réguliers
196,4,851.37,Tanger,3,3,2,332,2,Clients à Risque / Perdus
412,2,627.82,Tanger,4,2,2,422,0,Clients Réguliers
41,11,3830.84,Rabat,2,4,4,244,2,Clients à Risque / Perdus
227,2,336.09,Marrakech,3,2,1,321,2,Clients à Risque / Perdus
61,1,140.34,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
236,3,790.72,Agadir,3,2,2,322,2,Clients à Risque / Perdus
228,11,3019.2200000000003,Casablanca,3,4,4,344,2,Clients à Risque / Perdus
74,3,1122.41,Rabat,2,2,3,223,2,Clients à Risque / Perdus
53,5,846.87,Rabat,2,3,2,232,2,Clients à Risque / Perdus
12,23,15587.88,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
100,4,449.52,Casablanca,2,3,2,232,2,Clients à Risque / Perdus
649,1,154.25,Casablanca,4,1,1,411,0,Clients Réguliers
47,27,4566.56,Tanger,2,4,4,244,2,Clients à Risque / Perdus
131,3,1269.84,Rabat,3,2,3,323,2,Clients à Risque / Perdus
270,2,618.63,Fès,3,2,2,322,0,Clients Réguliers
307,1,316.26000000000005,Rabat,3,1,1,311,0,Clients Réguliers
3,10,5374.26,Tanger,1,4,4,144,2,Clients à Risque / Perdus
6,2,653.33,Rabat,1,2,2,122,2,Clients à Risque / Perdus
278,6,1320.33,Casablanca,3,3,3,333,0,Clients Réguliers
725,1,327.38,Casablanca,4,1,1,411,0,Clients Réguliers
13,5,1159.11,Marrakech,1,3,3,133,2,Clients à Risque / Perdus
18,4,1466.3,Marrakech,1,3,3,133,2,Clients à Risque / Perdus
283,3,2885.11,Agadir,3,2,4,324,0,Clients Réguliers
12,5,780.5,Agadir,1,3,2,132,2,Clients à Risque / Perdus
66,6,1905.39,Fès,2,3,3,233,2,Clients à Risque / Perdus
59,1,295.93,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
68,4,4393.63,Fès,2,3,4,234,2,Clients à Risque / Perdus
311,5,1639.2,Casablanca,3,3,3,333,0,Clients Réguliers
93,3,2022.79,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
239,2,287.05,Agadir,3,2,1,321,2,Clients à Risque / Perdus
4,8,1114.72,El Jadida,1,4,3,143,2,Clients à Risque / Perdus
40,10,4216.43,Fès,2,4,4,244,2,Clients à Risque / Perdus
672,1,282.76,Marrakech,4,1,1,411,0,Clients Réguliers
256,4,713.39,Rabat,3,3,2,332,2,Clients à Risque / Perdus
122,3,824.59,Casablanca,3,2,2,322,2,Clients à Risque / Perdus
69,4,815.9000000000001,Rabat,2,3,2,232,2,Clients à Risque / Perdus
68,6,1265.82,Agadir,2,3,3,233,2,Clients à Risque / Perdus
17,4,1685.26,Fès,1,3,3,133,2,Clients à Risque / Perdus
55,3,2128.42,Fès,2,2,3,223,2,Clients à Risque / Perdus
81,1,659.4399999999999,Agadir,2,1,2,212,2,Clients à Risque / Perdus
73,2,343.21,Marrakech,2,2,1,221,2,Clients à Risque / Perdus
54,11,6909.4,Rabat,2,4,4,244,2,Clients à Risque / Perdus
5,1,287.88,Meknès,1,1,1,111,2,Clients à Risque / Perdus
25,1,125.80000000000001,Kenitra,1,1,1,111,2,Clients à Risque / Perdus
28,6,5101.52,Marrakech,2,3,4,234,2,Clients à Risque / Perdus
36,5,680.1800000000001,Casablanca,2,3,2,232,2,Clients à Risque / Perdus
10,2,628.78,Casablanca,1,2,2,122,2,Clients à Risque / Perdus
734,2,1182.0,Rabat,4,2,3,423,0,Clients Réguliers
29,12,4683.74,Marrakech,2,4,4,244,2,Clients à Risque / Perdus
74,2,307.76,Rabat,2,2,1,221,2,Clients à Risque / Perdus
629,1,402.97999999999996,Rabat,4,1,2,412,0,Clients Réguliers
200,6,1738.52,Kenitra,3,3,3,333,2,Clients à Risque / Perdus
29,1,210.31,Fès,2,1,1,211,2,Clients à Risque / Perdus
178,3,270.79,Marrakech,3,2,1,321,2,Clients à Risque / Perdus
28,34,7363.7,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
398,1,89.5,Rabat,4,1,1,411,0,Clients Réguliers
1,6,3098.94,Meknès,1,3,4,134,2,Clients à Risque / Perdus
421,2,717.85,Rabat,4,2,2,422,0,Clients Réguliers
38,12,3112.73,Rabat,2,4,4,244,2,Clients à Risque / Perdus
81,7,1569.3600000000001,Agadir,2,4,3,243,2,Clients à Risque / Perdus
462,3,632.39,Tanger,4,2,2,422,0,Clients Réguliers
422,2,785.25,Tanger,4,2,2,422,0,Clients Réguliers
372,17,4006.17,Tanger,3,4,4,344,0,Clients Réguliers
629,2,1439.6100000000001,Casablanca,4,2,3,423,0,Clients Réguliers
35,6,829.0,Marrakech,2,3,2,232,2,Clients à Risque / Perdus
386,2,374.64,Fès,4,2,2,422,0,Clients Réguliers
7,5,1092.14,Tanger,1,3,3,133,2,Clients à Risque / Perdus
403,1,175.53,Tétouan,4,1,1,411,0,Clients Réguliers
91,3,908.99,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
21,8,1005.8,Casablanca,1,4,3,143,2,Clients à Risque / Perdus
378,1,349.51,Casablanca,4,1,2,412,0,Clients Réguliers
314,2,244.2,Rabat,3,2,1,321,0,Clients Réguliers
61,22,6978.92,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
670,1,517.8,Fès,4,1,2,412,0,Clients Réguliers
375,7,1638.28,Marrakech,3,4,3,343,0,Clients Réguliers
69,13,8999.19,Fès,2,4,4,244,2,Clients à Risque / Perdus
424,2,200.82,Fès,4,2,1,421,0,Clients Réguliers
23,13,3032.26,Rabat,1,4,4,144,2,Clients à Risque / Perdus
1,4,605.06,Tanger,1,3,2,132,2,Clients à Risque / Perdus
508,2,990.0,Rabat,4,2,3,423,0,Clients Réguliers
3,1,174.37,Marrakech,1,1,1,111,2,Clients à Risque / Perdus
211,11,1820.72,Agadir,3,4,3,343,2,Clients à Risque / Perdus
77,8,4838.18,Oujda,2,4,4,244,2,Clients à Risque / Perdus
79,2,777.53,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
139,37,17249.55,Oujda,3,4,4,344,2,Clients à Risque / Perdus
14,3,414.8,Marrakech,1,2,2,122,2,Clients à Risque / Perdus
36,5,1708.1200000000001,Tanger,2,3,3,233,2,Clients à Risque / Perdus
424,4,1083.69,Marrakech,4,3,3,433,0,Clients Réguliers
168,1,192.85,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
13,4,893.78,Agadir,1,3,3,133,2,Clients à Risque / Perdus
238,1,239.49,Meknès,3,1,1,311,2,Clients à Risque / Perdus
8,26,4546.54,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
201,1,1384.25,Casablanca,3,1,3,313,2,Clients à Risque / Perdus
45,6,916.47,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
406,1,421.25,Casablanca,4,1,2,412,0,Clients Réguliers
19,5,732.0699999999999,Meknès,1,3,2,132,2,Clients à Risque / Perdus
5,28,11551.74,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
20,11,3489.28,Meknès,1,4,4,144,2,Clients à Risque / Perdus
404,1,147.66,Rabat,4,1,1,411,0,Clients Réguliers
10,5,1539.04,Marrakech,1,3,3,133,2,Clients à Risque / Perdus
401,1,107.75,Marrakech,4,1,1,411,0,Clients Réguliers
304,2,280.53000000000003,Oujda,3,2,1,321,0,Clients Réguliers
385,2,241.68,Oujda,4,2,1,421,0,Clients Réguliers
151,2,1445.031,Rabat,3,2,3,323,2,Clients à Risque / Perdus
302,3,392.45,Casablanca,3,2,2,322,0,Clients Réguliers
526,3,684.54,Casablanca,4,2,2,422,0,Clients Réguliers
536,1,131.53,Marrakech,4,1,1,411,0,Clients Réguliers
59,4,1673.5,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
11,9,2478.95,Agadir,1,4,4,144,2,Clients à Risque / Perdus
10,6,1120.74,Tanger,1,3,3,133,2,Clients à Risque / Perdus
7,18,6349.59,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
60,7,2093.94,Agadir,2,4,3,243,2,Clients à Risque / Perdus
31,4,247.95999999999998,Marrakech,2,3,1,231,2,Clients à Risque / Perdus
103,14,5523.6900000000005,Meknès,3,4,4,344,2,Clients à Risque / Perdus
48,2,533.32,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
512,3,818.22,Casablanca,4,2,2,422,0,Clients Réguliers
1,2,697.04,Fès,1,2,2,122,2,Clients à Risque / Perdus
395,2,396.71,Oujda,4,2,2,422,0,Clients Réguliers
42,5,789.59,Tanger,2,3,2,232,2,Clients à Risque / Perdus
4,32,10052.17,Tanger,1,4,4,144,2,Clients à Risque / Perdus
307,2,518.42,Rabat,3,2,2,322,0,Clients Réguliers
40,4,1185.14,Rabat,2,3,3,233,2,Clients à Risque / Perdus
60,4,1025.17,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
21,1,164.34,Rabat,1,1,1,111,2,Clients à Risque / Perdus
654,1,717.62,Rabat,4,1,2,412,0,Clients Réguliers
382,2,522.67,Kenitra,4,2,2,422,0,Clients Réguliers
24,3,280.53999999999996,Casablanca,1,2,1,121,2,Clients à Risque / Perdus
35,2,1078.31,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
536,1,236.2,Meknès,4,1,1,411,0,Clients Réguliers
588,1,167.35,Tétouan,4,1,1,411,0,Clients Réguliers
7,14,2175.88,Tétouan,1,4,3,143,2,Clients à Risque / Perdus
84,10,3319.53,Fès,2,4,4,244,2,Clients à Risque / Perdus
628,1,818.29,Fès,4,1,2,412,0,Clients Réguliers
448,5,1039.8500000000001,Marrakech,4,3,3,433,0,Clients Réguliers
19,6,2359.19,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
314,8,6272.53,Marrakech,3,4,4,344,0,Clients Réguliers
564,2,288.1,Casablanca,4,2,1,421,0,Clients Réguliers
35,8,1278.75,Tanger,2,4,3,243,2,Clients à Risque / Perdus
169,1,177.34,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
540,2,231.69,Casablanca,4,2,1,421,0,Clients Réguliers
523,1,112.34,Agadir,4,1,1,411,0,Clients Réguliers
112,1,213.85,Marrakech,3,1,1,311,2,Clients à Risque / Perdus
691,1,658.95,Agadir,4,1,2,412,0,Clients Réguliers
26,10,2566.49,Rabat,1,4,4,144,2,Clients à Risque / Perdus
383,1,462.08,Rabat,4,1,2,412,0,Clients Réguliers
592,1,301.26,Kenitra,4,1,1,411,0,Clients Réguliers
248,2,707.04,Casablanca,3,2,2,322,2,Clients à Risque / Perdus
54,7,2245.9,Casablanca,2,4,3,243,2,Clients à Risque / Perdus
671,1,310.14,Casablanca,4,1,1,411,0,Clients Réguliers
18,19,13370.86,Tanger,1,4,4,144,2,Clients à Risque / Perdus
71,6,1799.78,Rabat,2,3,3,233,2,Clients à Risque / Perdus
95,11,3070.42,Marrakech,2,4,4,244,2,Clients à Risque / Perdus
20,8,3648.15,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
28,16,5073.47,Fès,2,4,4,244,2,Clients à Risque / Perdus
63,4,2999.16,Marrakech,2,3,4,234,2,Clients à Risque / Perdus
32,5,949.12,Oujda,2,3,3,233,2,Clients à Risque / Perdus
47,3,810.5,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
11,1,122.64,Fès,1,1,1,111,2,Clients à Risque / Perdus
69,2,1346.27,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
606,1,405.0,Casablanca,4,1,2,412,0,Clients Réguliers
636,5,1016.47,Tanger,4,3,3,433,0,Clients Réguliers
211,4,514.72,Rabat,3,3,2,332,2,Clients à Risque / Perdus
26,10,2156.77,Meknès,1,4,3,143,2,Clients à Risque / Perdus
11,4,2624.26,Tanger,1,3,4,134,2,Clients à Risque / Perdus
115,1,252.1,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
395,2,326.25,Rabat,4,2,1,421,0,Clients Réguliers
5,8,3071.68,Kenitra,1,4,4,144,2,Clients à Risque / Perdus
395,8,1764.02,Casablanca,4,4,3,443,0,Clients Réguliers
252,6,1678.88,Rabat,3,3,3,333,2,Clients à Risque / Perdus
12,10,3288.0,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
30,3,226.85,Rabat,2,2,1,221,2,Clients à Risque / Perdus
41,5,2570.85,Marrakech,2,3,4,234,2,Clients à Risque / Perdus
483,1,152.2,Kenitra,4,1,1,411,0,Clients Réguliers
38,11,6308.0,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
109,6,2280.51,Rabat,3,3,3,333,2,Clients à Risque / Perdus
160,4,1078.85,Casablanca,3,3,3,333,2,Clients à Risque / Perdus
6,2,382.14,Casablanca,1,2,2,122,2,Clients à Risque / Perdus
5,9,6025.5,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
201,12,4894.88,Tétouan,3,4,4,344,2,Clients à Risque / Perdus
395,1,314.59,Marrakech,4,1,1,411,0,Clients Réguliers
598,1,325.24,Oujda,4,1,1,411,0,Clients Réguliers
81,11,2250.11,Casablanca,2,4,3,243,2,Clients à Risque / Perdus
174,5,2047.51,Oujda,3,3,3,333,2,Clients à Risque / Perdus
382,3,1711.6599999999999,Tanger,4,2,3,423,0,Clients Réguliers
55,5,127.89999999999999,Casablanca,2,3,1,231,2,Clients à Risque / Perdus
144,1,305.02,Rabat,3,1,1,311,2,Clients à Risque / Perdus
6,34,12756.92,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
46,3,413.55,Rabat,2,2,2,222,2,Clients à Risque / Perdus
70,1,349.7,Rabat,2,1,2,212,2,Clients à Risque / Perdus
390,1,194.95,Casablanca,4,1,1,411,0,Clients Réguliers
296,3,419.92,Casablanca,3,2,2,322,0,Clients Réguliers
14,2,396.92,Tanger,1,2,2,122,2,Clients à Risque / Perdus
428,1,240.68,Kenitra,4,1,1,411,0,Clients Réguliers
147,2,486.82000000000005,Agadir,3,2,2,322,2,Clients à Risque / Perdus
534,2,243.9,Rabat,4,2,1,421,0,Clients Réguliers
400,2,556.1899999999999,Kenitra,4,2,2,422,0,Clients Réguliers
147,1,232.6,Kenitra,3,1,1,311,2,Clients à Risque / Perdus
489,3,281.26,Fès,4,2,1,421,0,Clients Réguliers
34,11,10797.29,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
13,4,827.83,Rabat,1,3,2,132,2,Clients à Risque / Perdus
182,1,59.5,Tanger,3,1,1,311,2,Clients à Risque / Perdus
453,1,258.6,Rabat,4,1,1,411,0,Clients Réguliers
281,4,596.98,Casablanca,3,3,2,332,0,Clients Réguliers
41,3,1934.45,Rabat,2,2,3,223,2,Clients à Risque / Perdus
178,3,409.04,Agadir,3,2,2,322,2,Clients à Risque / Perdus
433,1,11880.84,El Jadida,4,1,4,414,0,Clients Réguliers
630,1,375.5,Casablanca,4,1,2,412,0,Clients Réguliers
58,2,1259.5,Casablanca,2,2,3,223,2,Clients à Risque / Perdus
54,1,172.25,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
391,1,212.78,El Jadida,4,1,1,411,0,Clients Réguliers
20,5,3114.4,El Jadida,1,3,4,134,2,Clients à Risque / Perdus
369,9,2011.82,Tanger,3,4,3,343,0,Clients Réguliers
21,140,193351.65,Marrakech,1,4,4,144,1,VIP / Champions
26,16,2770.73,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
417,3,2020.4,Marrakech,4,2,3,423,0,Clients Réguliers
34,1,151.29999999999998,Fès,2,1,1,211,2,Clients à Risque / Perdus
592,2,465.53000000000003,Rabat,4,2,2,422,0,Clients Réguliers
150,2,764.15,Rabat,3,2,2,322,2,Clients à Risque / Perdus
22,13,2613.46,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
442,1,161.0,Casablanca,4,1,1,411,0,Clients Réguliers
441,1,135.18,Casablanca,4,1,1,411,0,Clients Réguliers
314,2,425.56,Kenitra,3,2,2,322,0,Clients Réguliers
17,8,2143.38,Casablanca,1,4,3,143,2,Clients à Risque / Perdus
3,7,2035.33,Tanger,1,4,3,143,2,Clients à Risque / Perdus
298,2,631.17,Marrakech,3,2,2,322,0,Clients Réguliers
262,5,3365.86,Casablanca,3,3,4,334,2,Clients à Risque / Perdus
266,1,296.88,Marrakech,3,1,1,311,0,Clients Réguliers
