Recence,Frequence,Montant,Ville,Segment,Cluster,RFM_Score,Churn,Proba_Churn,Risque
595,1,734.91,Casablanca,Clients Réguliers,0,412,1,0.9997967,Élevé
598,3,781.59,Casablanca,Clients Réguliers,0,422,1,0.9997167,Élevé
438,5,927.61,Tétouan,Clients Réguliers,0,433,1,0.9997167,Élevé
719,1,307.95,Fès,Clients Réguliers,0,411,1,0.9997882,Élevé
433,1,208.63,Agadir,Clients Réguliers,0,411,1,0.99971837,Élevé
151,11,3320.84,Agadir,Clients à Risque / Perdus,2,344,0,0.00059199973,Faible
34,5,994.51,Marrakech,Clients à Risque / Perdus,2,233,0,0.0002267366,Faible
387,6,1192.94,Casablanca,Clients Réguliers,0,433,1,0.9997167,Élevé
185,3,1689.53,Agadir,Clients à Risque / Perdus,2,323,1,0.99926907,Élevé
355,4,1101.97,Meknès,Clients Réguliers,0,333,1,0.99963,Élevé
132,6,792.51,Fès,Clients à Risque / Perdus,2,332,0,0.0003734302,Faible
3,7,4368.62,Marrakech,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
264,3,1218.7,Marrakech,Clients Réguliers,0,323,1,0.99926907,Élevé
165,3,1285.51,Marrakech,Clients à Risque / Perdus,2,323,0,0.00027689768,Faible
99,4,618.09,Tanger,Clients à Risque / Perdus,2,232,0,0.00027304867,Faible
150,2,159.2,Tanger,Clients à Risque / Perdus,2,321,0,0.0009727617,Faible
395,1,61.72,Tanger,Clients Réguliers,0,411,1,0.99971837,Élevé
346,4,1217.99,Casablanca,Clients Réguliers,0,333,1,0.9996105,Élevé
17,15,3541.55,Marrakech,Clients à Risque / Perdus,2,144,0,0.00027073818,Faible
425,1,53.65,Oujda,Clients Réguliers,0,411,1,0.99971837,Élevé
115,3,273.34,Tanger,Clients à Risque / Perdus,2,321,0,0.0002667384,Faible
18,4,1670.37,El Jadida,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
2,6,1706.37,Casablanca,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
23,5,1541.2,Marrakech,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
145,1,490.11,Agadir,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
446,1,124.75,Marrakech,Clients Réguliers,0,411,1,0.99971837,Élevé
17,12,3445.32,Fès,Clients à Risque / Perdus,2,144,0,0.00027073818,Faible
59,2,589.47,Marrakech,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
684,1,310.26,Rabat,Clients Réguliers,0,411,1,0.9997882,Élevé
32,10,13191.57,Marrakech,Clients à Risque / Perdus,2,244,0,0.00023124371,Faible
61,19,6486.091,Casablanca,Clients à Risque / Perdus,2,244,0,0.0004533296,Faible
1,2,489.92,Rabat,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
12,57,21773.4,Agadir,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
73,6,2228.1,Marrakech,Clients à Risque / Perdus,2,233,0,0.00028149466,Faible
67,2,567.36,Tanger,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
12,1,199.48,Kenitra,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
3,4,513.0500000000001,Tanger,Clients à Risque / Perdus,2,132,0,0.00021599677,Faible
31,18,10513.47,Casablanca,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
77,1,675.3,Meknès,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
427,1,281.76,Fès,Clients Réguliers,0,411,1,0.99971837,Élevé
34,20,9879.48,Meknès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
311,1,1308.48,Tanger,Clients Réguliers,0,313,1,0.9997396,Élevé
27,8,5112.97,Tanger,Clients à Risque / Perdus,2,244,0,0.00025717216,Faible
88,6,2806.18,Kenitra,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
397,1,262.4,Marrakech,Clients Réguliers,0,411,1,0.99971837,Élevé
9,1,350.9,Marrakech,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
406,3,1015.74,Casablanca,Clients Réguliers,0,423,1,0.9996105,Élevé
77,5,6263.75,Rabat,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
72,1,795.12,Oujda,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
541,1,1575.26,Rabat,Clients Réguliers,0,413,1,0.9997396,Élevé
153,4,2445.62,Oujda,Clients à Risque / Perdus,2,334,0,0.0003606093,Faible
196,1,860.12,Marrakech,Clients à Risque / Perdus,2,312,1,0.9997396,Élevé
41,12,22100.56,Meknès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
256,1,775.85,El Jadida,Clients Réguliers,0,312,1,0.9997396,Élevé
173,1,353.43,Agadir,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
63,3,2543.72,Casablanca,Clients à Risque / Perdus,2,224,0,0.0003199647,Faible
283,1,389.5,Casablanca,Clients Réguliers,0,312,1,0.9997396,Élevé
458,6,299.4,Agadir,Clients Réguliers,0,431,1,0.9996903,Élevé
65,1,341.36,Tanger,Clients à Risque / Perdus,2,211,0,0.00032832907,Faible
59,1,233.76,Marrakech,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
6,1,247.32,Agadir,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
11,2,979.12,Oujda,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
62,1,373.94,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
55,1,397.98,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
66,1,743.53,Tanger,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
117,1,674.7,Tanger,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
75,1,768.24,Tétouan,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
252,5,3838.36,Rabat,Clients à Risque / Perdus,2,334,1,0.9996105,Élevé
264,1,439.03,Tétouan,Clients Réguliers,0,312,1,0.9997396,Élevé
59,2,1043.31,Oujda,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
427,4,1553.65,Tétouan,Clients Réguliers,0,433,1,0.9997017,Élevé
467,2,1450.5,Rabat,Clients Réguliers,0,423,1,0.99976844,Élevé
4,7,5394.07,Oujda,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
13,3,1723.86,Casablanca,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
66,1,134.95999999999998,Meknès,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
29,2,2225.37,Fès,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
45,1,56.16,Marrakech,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
427,1,510.2000000000001,Rabat,Clients Réguliers,0,412,1,0.9997396,Élevé
252,4,1121.5,Marrakech,Clients à Risque / Perdus,2,333,1,0.9993057,Élevé
361,1,616.5600000000001,Tanger,Clients Réguliers,0,312,1,0.9997396,Élevé
367,1,1509.74,Meknès,Clients Réguliers,0,313,1,0.9997396,Élevé
500,2,2297.66,Tétouan,Clients Réguliers,0,424,1,0.99976844,Élevé
85,1,378.64,Tanger,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
56,6,7587.19,El Jadida,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
410,2,422.8,Rabat,Clients Réguliers,0,422,1,0.99976915,Élevé
84,2,1792.23,Tétouan,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
94,3,1019.76,Oujda,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
392,2,1552.88,Agadir,Clients Réguliers,0,423,1,0.99976844,Élevé
21,3,572.56,Fès,Clients à Risque / Perdus,2,122,0,0.00021599677,Faible
428,1,62.4,Tanger,Clients Réguliers,0,411,1,0.99971837,Élevé
27,12,8224.37,El Jadida,Clients à Risque / Perdus,2,244,0,0.00023124371,Faible
276,5,1387.58,Marrakech,Clients Réguliers,0,333,1,0.99963,Élevé
539,1,305.28000000000003,Casablanca,Clients Réguliers,0,411,1,0.99971753,Élevé
26,11,6680.83,Marrakech,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
325,1,534.57,Rabat,Clients Réguliers,0,312,1,0.9997396,Élevé
410,2,835.46,Casablanca,Clients Réguliers,0,422,1,0.99976844,Élevé
412,1,189.44,Meknès,Clients Réguliers,0,411,1,0.99971837,Élevé
127,3,1185.65,Casablanca,Clients à Risque / Perdus,2,323,0,0.00027689768,Faible
6,3,797.96,Agadir,Clients à Risque / Perdus,2,122,0,0.0002267366,Faible
70,1,544.08,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
199,1,59.8,Marrakech,Clients à Risque / Perdus,2,311,1,0.99971837,Élevé
672,1,91.14,Rabat,Clients Réguliers,0,411,1,0.99978894,Élevé
579,4,1131.45,Casablanca,Clients Réguliers,0,433,1,0.9997167,Élevé
49,18,6319.6,Meknès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
180,3,1180.23,Rabat,Clients à Risque / Perdus,2,323,0,0.08373241,Faible
24,2,1360.99,Rabat,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
68,10,3191.87,Agadir,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
187,2,670.34,Rabat,Clients à Risque / Perdus,2,322,1,0.99970335,Élevé
459,3,275.4,Tanger,Clients Réguliers,0,421,1,0.99959546,Élevé
578,1,310.83,Casablanca,Clients Réguliers,0,411,1,0.9997882,Élevé
122,4,1535.13,Marrakech,Clients à Risque / Perdus,2,333,0,0.00027689768,Faible
13,3,229.5,Casablanca,Clients à Risque / Perdus,2,121,0,0.00021100474,Faible
208,1,217.81,Casablanca,Clients à Risque / Perdus,2,311,1,0.99971837,Élevé
69,6,1213.811,Tanger,Clients à Risque / Perdus,2,233,0,0.00028662445,Faible
422,2,568.92,Meknès,Clients Réguliers,0,422,1,0.99976915,Élevé
574,3,2244.7,Marrakech,Clients Réguliers,0,423,1,0.9997017,Élevé
3,104,50870.622,Kenitra,VIP / Champions,1,144,0,0.00023124371,Faible
19,9,2201.96,Meknès,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
102,1,213.55,Marrakech,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
615,1,487.35,Marrakech,Clients Réguliers,0,412,1,0.9997967,Élevé
635,6,429.44,Casablanca,Clients Réguliers,0,432,1,0.9997025,Élevé
129,6,2494.14,Casablanca,Clients à Risque / Perdus,2,334,0,0.0003606093,Faible
468,4,800.67,Rabat,Clients Réguliers,0,432,1,0.9997167,Élevé
39,3,940.8,Casablanca,Clients à Risque / Perdus,2,223,0,0.00021904154,Faible
200,5,1264.66,Casablanca,Clients à Risque / Perdus,2,333,1,0.9993057,Élevé
7,31,12233.6,Tanger,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
59,1,221.06,Casablanca,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
145,2,159.85,Marrakech,Clients à Risque / Perdus,2,321,0,0.0009727617,Faible
35,8,4103.12,Tétouan,Clients à Risque / Perdus,2,244,0,0.00025717216,Faible
59,1,2626.3,Tanger,Clients à Risque / Perdus,2,214,0,0.00032832907,Faible
424,1,217.03,Fès,Clients Réguliers,0,411,1,0.99971837,Élevé
445,1,572.77,Casablanca,Clients Réguliers,0,412,1,0.9997396,Élevé
103,5,3403.63,Rabat,Clients à Risque / Perdus,2,334,0,0.00028149466,Faible
5,21,7875.6,Tanger,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
15,6,1006.53,Rabat,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
5,3,499.98,Casablanca,Clients à Risque / Perdus,2,122,0,0.00021599677,Faible
6,4,1006.8,Tanger,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
14,2,679.45,Tanger,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
62,8,3316.24,Casablanca,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
566,2,439.1,Casablanca,Clients Réguliers,0,422,1,0.99979466,Élevé
496,4,658.3199999999999,Casablanca,Clients Réguliers,0,432,1,0.9997167,Élevé
69,5,1666.86,Tanger,Clients à Risque / Perdus,2,233,0,0.00027689768,Faible
19,8,4032.93,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
9,7,3408.06,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
542,1,46.5,Casablanca,Clients Réguliers,0,411,1,0.99971837,Élevé
250,3,986.61,Tétouan,Clients à Risque / Perdus,2,323,1,0.99926907,Élevé
419,7,1295.25,Rabat,Clients Réguliers,0,443,1,0.9995741,Élevé
87,2,720.9,Casablanca,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
662,3,419.87,Marrakech,Clients Réguliers,0,422,1,0.9997025,Élevé
444,6,1280.16,Fès,Clients Réguliers,0,433,1,0.9997167,Élevé
370,2,631.6800000000001,Casablanca,Clients Réguliers,0,322,1,0.99976844,Élevé
621,1,241.9,Tanger,Clients Réguliers,0,411,1,0.99978894,Élevé
425,11,3881.89,Marrakech,Clients Réguliers,0,444,1,0.9995241,Élevé
18,3,1129.14,Rabat,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
12,13,9240.87,Rabat,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
19,1,291.88,Fès,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
22,13,4120.04,Kenitra,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
21,11,7190.92,Casablanca,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
254,3,729.8,Agadir,Clients à Risque / Perdus,2,322,1,0.9993057,Élevé
161,3,781.6899999999999,Marrakech,Clients à Risque / Perdus,2,322,0,0.00028662445,Faible
636,1,219.87,Agadir,Clients Réguliers,0,411,1,0.99978894,Élevé
20,6,2905.93,Meknès,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
13,6,1766.72,Rabat,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
684,2,148.22,Casablanca,Clients Réguliers,0,421,1,0.9997861,Élevé
2,16,11959.27,Agadir,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
620,2,1160.41,Casablanca,Clients Réguliers,0,423,1,0.99979407,Élevé
24,2,183.44,Marrakech,Clients à Risque / Perdus,2,121,0,0.00027769,Faible
34,6,4160.0,Rabat,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
248,5,1153.85,Casablanca,Clients à Risque / Perdus,2,333,1,0.99963,Élevé
53,6,3097.64,Rabat,Clients à Risque / Perdus,2,234,0,0.00028770725,Faible
441,2,931.12,Tanger,Clients Réguliers,0,423,1,0.99976844,Élevé
179,5,1013.35,Tanger,Clients à Risque / Perdus,2,333,0,0.0003734302,Faible
6,2,1083.71,Fès,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
3,71,13265.97,Marrakech,VIP / Champions,1,144,0,0.00027073818,Faible
648,1,82.4,Fès,Clients Réguliers,0,411,1,0.99978894,Élevé
94,2,165.0,Meknès,Clients à Risque / Perdus,2,221,0,0.0009727617,Faible
1,3,2439.34,Casablanca,Clients à Risque / Perdus,2,124,0,0.00021904154,Faible
459,2,592.24,Agadir,Clients Réguliers,0,422,1,0.99976915,Élevé
56,8,2657.76,Kenitra,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
231,3,663.79,Agadir,Clients à Risque / Perdus,2,322,1,0.9993057,Élevé
186,4,1431.78,Tanger,Clients à Risque / Perdus,2,333,1,0.99926907,Élevé
174,5,2061.4700000000003,Meknès,Clients à Risque / Perdus,2,333,0,0.0003606093,Faible
33,11,2834.17,Rabat,Clients à Risque / Perdus,2,244,0,0.00023818534,Faible
464,5,2215.78,Rabat,Clients Réguliers,0,433,1,0.9997017,Élevé
196,4,851.37,Tanger,Clients à Risque / Perdus,2,332,1,0.9993057,Élevé
412,2,627.82,Tanger,Clients Réguliers,0,422,1,0.99976844,Élevé
41,11,3830.84,Rabat,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
227,2,336.09,Marrakech,Clients à Risque / Perdus,2,321,1,0.99969923,Élevé
61,1,140.34,Marrakech,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
236,3,790.72,Agadir,Clients à Risque / Perdus,2,322,1,0.9993057,Élevé
228,11,3019.2200000000003,Casablanca,Clients à Risque / Perdus,2,344,1,0.999548,Élevé
74,3,1122.41,Rabat,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
53,5,846.87,Rabat,Clients à Risque / Perdus,2,232,0,0.0003312044,Faible
12,23,15587.88,Casablanca,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
100,4,449.52,Casablanca,Clients à Risque / Perdus,2,232,0,0.00027304867,Faible
649,1,154.25,Casablanca,Clients Réguliers,0,411,1,0.99978894,Élevé
47,27,4566.56,Tanger,Clients à Risque / Perdus,2,244,0,0.00047723798,Faible
131,3,1269.84,Rabat,Clients à Risque / Perdus,2,323,0,0.00027689768,Faible
270,2,618.63,Fès,Clients Réguliers,0,322,1,0.99970335,Élevé
307,1,316.26000000000005,Rabat,Clients Réguliers,0,311,1,0.9997223,Élevé
3,10,5374.26,Tanger,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
6,2,653.33,Rabat,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
278,6,1320.33,Casablanca,Clients Réguliers,0,333,1,0.9997167,Élevé
725,1,327.38,Casablanca,Clients Réguliers,0,411,1,0.9997967,Élevé
13,5,1159.11,Marrakech,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
18,4,1466.3,Marrakech,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
283,3,2885.11,Agadir,Clients Réguliers,0,324,1,0.99926907,Élevé
12,5,780.5,Agadir,Clients à Risque / Perdus,2,132,0,0.0002267366,Faible
66,6,1905.39,Fès,Clients à Risque / Perdus,2,233,0,0.00028149466,Faible
59,1,295.93,Casablanca,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
68,4,4393.63,Fès,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
311,5,1639.2,Casablanca,Clients Réguliers,0,333,1,0.9997017,Élevé
93,3,2022.79,Marrakech,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
239,2,287.05,Agadir,Clients à Risque / Perdus,2,321,1,0.9996793,Élevé
4,8,1114.72,El Jadida,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
40,10,4216.43,Fès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
672,1,282.76,Marrakech,Clients Réguliers,0,411,1,0.99978894,Élevé
256,4,713.39,Rabat,Clients à Risque / Perdus,2,332,1,0.9993057,Élevé
122,3,824.59,Casablanca,Clients à Risque / Perdus,2,322,0,0.00028662445,Faible
69,4,815.9000000000001,Rabat,Clients à Risque / Perdus,2,232,0,0.0003312044,Faible
68,6,1265.82,Agadir,Clients à Risque / Perdus,2,233,0,0.00028662445,Faible
17,4,1685.26,Fès,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
55,3,2128.42,Fès,Clients à Risque / Perdus,2,223,0,0.00021904154,Faible
81,1,659.4399999999999,Agadir,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
73,2,343.21,Marrakech,Clients à Risque / Perdus,2,221,0,0.0002842593,Faible
54,11,6909.4,Rabat,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
5,1,287.88,Meknès,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
25,1,125.8,Kenitra,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
28,6,5101.52,Marrakech,Clients à Risque / Perdus,2,234,0,0.00021904154,Faible
36,5,680.1800000000001,Casablanca,Clients à Risque / Perdus,2,232,0,0.0002267366,Faible
10,2,628.78,Casablanca,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
734,2,1182.0,Rabat,Clients Réguliers,0,423,1,0.9997986,Élevé
29,12,4683.74,Marrakech,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
74,2,307.76,Rabat,Clients à Risque / Perdus,2,221,0,0.00027769,Faible
629,1,402.98,Rabat,Clients Réguliers,0,412,1,0.9997967,Élevé
200,6,1738.52,Kenitra,Clients à Risque / Perdus,2,333,1,0.99963,Élevé
29,1,210.31,Fès,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
178,3,270.79,Marrakech,Clients à Risque / Perdus,2,321,0,0.0002667384,Faible
28,34,7363.7,Casablanca,Clients à Risque / Perdus,2,244,0,0.00023818534,Faible
398,1,89.5,Rabat,Clients Réguliers,0,411,1,0.99971837,Élevé
1,6,3098.94,Meknès,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
421,2,717.85,Rabat,Clients Réguliers,0,422,1,0.99976844,Élevé
38,12,3112.73,Rabat,Clients à Risque / Perdus,2,244,0,0.00023818534,Faible
81,7,1569.36,Agadir,Clients à Risque / Perdus,2,243,0,0.00023429526,Faible
462,3,632.39,Tanger,Clients Réguliers,0,422,1,0.99963,Élevé
422,2,785.25,Tanger,Clients Réguliers,0,422,1,0.99976844,Élevé
372,17,4006.17,Tanger,Clients Réguliers,0,344,1,0.999548,Élevé
629,2,1439.61,Casablanca,Clients Réguliers,0,423,1,0.99979407,Élevé
35,6,829.0,Marrakech,Clients à Risque / Perdus,2,232,0,0.0003312044,Faible
386,2,374.64,Fès,Clients Réguliers,0,422,1,0.99976915,Élevé
7,5,1092.14,Tanger,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
403,1,175.53,Tétouan,Clients Réguliers,0,411,1,0.99971837,Élevé
91,3,908.99,Marrakech,Clients à Risque / Perdus,2,223,0,0.0003146095,Faible
21,8,1005.8,Casablanca,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
378,1,349.51,Casablanca,Clients Réguliers,0,412,1,0.9997396,Élevé
314,2,244.2,Rabat,Clients Réguliers,0,321,1,0.9997595,Élevé
61,22,6978.92,Casablanca,Clients à Risque / Perdus,2,244,0,0.0004533296,Faible
670,1,517.8,Fès,Clients Réguliers,0,412,1,0.9997967,Élevé
375,7,1638.28,Marrakech,Clients Réguliers,0,343,1,0.9995741,Élevé
69,13,8999.19,Fès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
424,2,200.82,Fès,Clients Réguliers,0,421,1,0.9997595,Élevé
23,13,3032.26,Rabat,Clients à Risque / Perdus,2,144,0,0.00027073818,Faible
1,4,605.06,Tanger,Clients à Risque / Perdus,2,132,0,0.00021599677,Faible
508,2,990.0,Rabat,Clients Réguliers,0,423,1,0.99976844,Élevé
3,1,174.37,Marrakech,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
211,11,1820.72,Agadir,Clients à Risque / Perdus,2,343,1,0.999548,Élevé
77,8,4838.18,Oujda,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
79,2,777.53,Casablanca,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
139,37,17249.55,Oujda,Clients à Risque / Perdus,2,344,0,0.00059199973,Faible
14,3,414.8,Marrakech,Clients à Risque / Perdus,2,122,0,0.00021599677,Faible
36,5,1708.12,Tanger,Clients à Risque / Perdus,2,233,0,0.00021904154,Faible
424,4,1083.69,Marrakech,Clients Réguliers,0,433,1,0.9997167,Élevé
168,1,192.85,Casablanca,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
13,4,893.78,Agadir,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
238,1,239.49,Meknès,Clients à Risque / Perdus,2,311,1,0.99971837,Élevé
8,26,4546.54,Casablanca,Clients à Risque / Perdus,2,144,0,0.00027073818,Faible
201,1,1384.25,Casablanca,Clients à Risque / Perdus,2,313,1,0.9997396,Élevé
45,6,916.47,Casablanca,Clients à Risque / Perdus,2,233,0,0.0003312044,Faible
406,1,421.25,Casablanca,Clients Réguliers,0,412,1,0.9997396,Élevé
19,5,732.0699999999999,Meknès,Clients à Risque / Perdus,2,132,0,0.0002267366,Faible
5,28,11551.74,Marrakech,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
20,11,3489.28,Meknès,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
404,1,147.66,Rabat,Clients Réguliers,0,411,1,0.99971837,Élevé
10,5,1539.04,Marrakech,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
401,1,107.75,Marrakech,Clients Réguliers,0,411,1,0.99971837,Élevé
304,2,280.53000000000003,Oujda,Clients Réguliers,0,321,1,0.9997595,Élevé
385,2,241.68,Oujda,Clients Réguliers,0,421,1,0.9997595,Élevé
151,2,1445.031,Rabat,Clients à Risque / Perdus,2,323,0,0.0010097836,Faible
302,3,392.45,Casablanca,Clients Réguliers,0,322,1,0.9992712,Élevé
526,3,684.54,Casablanca,Clients Réguliers,0,422,1,0.9997167,Élevé
536,1,131.53,Marrakech,Clients Réguliers,0,411,1,0.99971837,Élevé
59,4,1673.5,Casablanca,Clients à Risque / Perdus,2,233,0,0.0003199647,Faible
11,9,2478.95,Agadir,Clients à Risque / Perdus,2,144,0,0.00019653594,Faible
10,6,1120.74,Tanger,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
7,18,6349.59,Marrakech,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
60,7,2093.94,Agadir,Clients à Risque / Perdus,2,243,0,0.00022625006,Faible
31,4,247.96,Marrakech,Clients à Risque / Perdus,2,231,0,0.00021100474,Faible
103,14,5523.6900000000005,Meknès,Clients à Risque / Perdus,2,344,0,0.0004533296,Faible
48,2,533.32,Casablanca,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
512,3,818.22,Casablanca,Clients Réguliers,0,422,1,0.9997167,Élevé
1,2,697.04,Fès,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
395,2,396.71,Oujda,Clients Réguliers,0,422,1,0.99976915,Élevé
42,5,789.59,Tanger,Clients à Risque / Perdus,2,232,0,0.0003312044,Faible
4,32,10052.17,Tanger,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
307,2,518.42,Rabat,Clients Réguliers,0,322,1,0.99976915,Élevé
40,4,1185.14,Rabat,Clients à Risque / Perdus,2,233,0,0.0002267366,Faible
60,4,1025.17,Casablanca,Clients à Risque / Perdus,2,233,0,0.0003312044,Faible
21,1,164.34,Rabat,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
654,1,717.62,Rabat,Clients Réguliers,0,412,1,0.9997967,Élevé
382,2,522.67,Kenitra,Clients Réguliers,0,422,1,0.99976915,Élevé
24,3,280.54,Casablanca,Clients à Risque / Perdus,2,121,0,0.00021100474,Faible
35,2,1078.31,Marrakech,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
536,1,236.2,Meknès,Clients Réguliers,0,411,1,0.99971837,Élevé
588,1,167.35,Tétouan,Clients Réguliers,0,411,1,0.99978894,Élevé
7,14,2175.88,Tétouan,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
84,10,3319.53,Fès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
628,1,818.29,Fès,Clients Réguliers,0,412,1,0.9997967,Élevé
448,5,1039.85,Marrakech,Clients Réguliers,0,433,1,0.9997167,Élevé
19,6,2359.19,Casablanca,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
314,8,6272.53,Marrakech,Clients Réguliers,0,344,1,0.9995241,Élevé
564,2,288.1,Casablanca,Clients Réguliers,0,421,1,0.9997861,Élevé
35,8,1278.75,Tanger,Clients à Risque / Perdus,2,243,0,0.00027073818,Faible
169,1,177.34,Casablanca,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
540,2,231.69,Casablanca,Clients Réguliers,0,421,1,0.9997595,Élevé
523,1,112.34,Agadir,Clients Réguliers,0,411,1,0.99971837,Élevé
112,1,213.85,Marrakech,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
691,1,658.95,Agadir,Clients Réguliers,0,412,1,0.9997967,Élevé
